Name,Username
League of Legends Brasil,leagueoflegendsbrasil
menino da tiger🐯🇬🇧,dograu__victor
Katia Nogueira|Harmonização Facial,dra.katianogueira
EMPÓRIO DA PRATA | Joias em Prata 925,emporiodaprata
"Oi, to triste",8tristebr
Bela Ferraz - Sua loja de cosméticos💕,belaferrazoficial
VIP PRODUÇÕES,vipproducoesjf
ZARGOT CALCADOS ®️,zargot_
Portal de Rondônia,portalderondonia
Clara Kutner,clarakutner
Gado & Cia Esmeraldas MG,gadoesmeraldas
Comunique-se | Mailing Imprensa | Clipping,grupocomuniquese
Lipe Baby - Moda Infantil,lipebabystore1
Sara Spíndola,lojas.jes
Silvio Antonio,silvioantonioma
Danielle Pchepiorka,dra.daniellepchepiorka
TOPSAJU SERGIPE,topsaju_se
drica andrade 🌈,hellodrica
Vaneyse,vaneyse
SantossJulioo3,juliosartscaricaturas
Zé Queiroz,zequeirozoficial
A Fazenda 15 🤠,celebritv_
Teatro Prudential,teatroprudential
Fofoca dos famosos exclusiva,foffocasteen
Roberta Gomes,robertaccg
João Paulo Sousa,joaopauloshowsa
Nutri Rafael Manga,nutri.rafaelmanga
Vereador Tiago Ferreira,tiagoferreiravereador
Anderson de Matos,ver.andersondematos
Daniela Ungaretti,daniungaretti
Natalia Daumas,natalia_daumas
Portal de Notícias CE,portaldenoticiasce
Alex Silva Assú,alex_assu
Myrella Vitória,myrellasantanaa
SINDAG | Aviação Agrícola,sindagbr
𝗙𝗔𝗦𝗧 𝗦𝗢𝗕𝗥𝗔𝗡𝗖𝗘𝗟𝗛𝗔𝗦®️,fastsobrancelhas
Chris Fuscaldo,chrisfuscaldo
Somos São Paulinos,somospfc
Coren-SP,corensaopaulo
beatriz pinto galil,biagalil
Valor Investe,valorinveste
Dr. Mangabeira,drmangabeiraoficial
Prefeito Luiz Maurício,prefeitoluizmauricio
Feminismo por Fernanda Souza,ferminismo
Associação Médica Brasileira,amb_oficial
Dr. Sávio Cardoso,drsaviocardoso
CURIMATÁ4 OFICIAL ©️,curimata4
eSuites Spa Lagoa Santa,esuiteslagoasanta
Glauber Poubel,glauberpoubelrj
Prefeitura de Joaçaba,prefeituradejoacaba
Moody Vintage,lojinha_moody
IATAGAN KENNEDY 🇧🇷,iatagankennedy
GABRIELLE MEDEIROS,inutilidadesdagabi
PORTAL DIÁRIO DE RONDÔNIA,portaldiarioderondonia
Prefeitura de Taubaté,preftaubate
Divinna Moda Evangélica,divinnamodaevangelica
USADO AGRÍCOLA®️,usadoagricola.com_
King Jacaré,kingjacare_multimarcas
🧶Mimos da Jaci,jaciana_gomes_
Hora pra Brincar,horaprabrincar
Rogério Fonseca Damasceno | ROGGS,roggs_13
Major Fabiana RJ,majorfabianadepfed
União Brasil 4️⃣4️⃣,uniaobrasil44
Rádio Bom Jesus FM,radiobomjesusfm_
Convenção Batista Brasileira,cbboficial
Thiago Manzoni,thiago.manzoni
Tempero Jurídico,temperojuridico
Semana7 | Notícias,semana7_
Helio Flanders,helioflanders
𝐉𝐎𝐕𝐄𝐍𝐒 𝐆𝐎𝐒𝐏𝐄𝐋 𝐎𝐅𝐈𝐂𝐈𝐀𝐋 🇧🇷,jovens_gospell
Clic Regional,clic_regional
Fundação Bradesco,fundacao.bradesco
J U C K S,heyjucks
Midnite Futebol,midnitefutebol
Graça Music,gracamusic
Paulo Rossi 🛸🇧🇷1️⃣3️⃣,eipaulorossi
Fortaleza Açaí-RJ,fortaleza.acai
Corridas em Sergipe,corridasemsergipe
Sonaira Fernandes,sonaira_sp
mayton,mayton
Karttinha S.T,kartinha
Criança Feliz Moda Infantil,criancafelizcpv
Giovana Oliveira,essagiovana
👨🏻 Seu Vidal,seuvidal
Maria Eunice,sigamariaeunice
Robson Matiola de Oliveira,robsonmatiola
Neide Rigo,neiderigo
Loukos_no_futebol,loukos_no_futebol
Francisco Campello 🇧🇷🎩,colunadocampellooficial
PRF Brasil,prfoficial
Léo Camilo,leocamilo1968
Xisto Freitas,xisto.freitas
OBA Superatacado,obasuperatacado
Rosangela Hilario,rosangela.hilario
Brisa Issa,brisaissa
Aratu On,aratuonline
Diego Nóbrega | Especialista em  Música,prof.dih
TV Difusora Imperatriz | SBT Maranhão,tvdifusoraitz
Sebrae Amapá,sebraeap
Flávia Berthier 🇧🇷,flaviaberthier
GiOlaser Santos - Gonzaga,giolasersantos.gonzaga
Franzé Carneiro,franzecarneir
Defensoria Pública da União - Brasil,dpuoficial
Luna Educação,lunaeducacao
𝐆𝐚𝐛𝐲♡,textoscomimagens
CRB - Clube de Regatas Brasil,crbomaiordealagoas
𝐂𝐚𝐦𝐢𝐥𝐚 | 𝐄𝐱𝐩𝐞𝐫𝐭 𝒆𝐦 𝐄𝐦𝐚𝐠𝐫𝐞𝐜𝐞𝐫 𝐌𝐮𝐥𝐡𝐞𝐫𝐞𝐬 𝒄𝐨𝐦 𝐓𝐫𝐞𝐢𝐧𝐨𝐬 𝒆𝐦 𝐂𝐚𝐬𝐚,camilacarvalho.personal
Jhonatan de Jesus,jhonatandejesus
Natudermefarma | Manipulação,natudermefarma
Danielle Sodelli,danisodelli
Flogão Elite,eliteflogao
José Mauro Brant,jose_mauro_brant
Pernambuco TEM,pernambucotem
Recruta Bahia,recrutabahia
"Juliana Flores/Mãe Atípica,Palestrante Motivacional e Escritora",juflorespr
Jessica Senra,jessicasenra
Dra. Mayra Pinheiro,dra.mayra.oficial
Bom Dia Feira,bomdiafeiraoficial
Fridesc | Personaliza Aí!,fridesc
Uau Hein!  | Fofoca das Celebridades,uauheinofc
Bertrand Livreiros,bertrandlivreiros
FM O Dia - #RespeitaMinhaHistória 🎶,fmodia
ᴠᴇʀóɴɪᴄᴀ ᴠᴀʟᴇɴᴛᴛɪɴᴏ,valenttino
Bruno Barbosa,doutrinafinanceira
Samuel Pinheiro,samuelpinheiroficial
Clodoaldo Massagli,clodoaldomassagli
André Prazeres | Exército da Imaculada,andregeradosnacruz
Tião Viana,tiaoviana
"JUNTE-SE A NÓS, PATRIOTA!",blog_do_almeida
Fafy Siqueira Real,fafy.siqueira
VOCÊ LEMBRA DELE❓,vocelembradele
Saymon Alencar,simao.sousaalencar
Casa NINJA Amazônia,casaninjaamazonia
Raphael Costa | Empresa 220⚡️,raphaelcostaoficial
Karla Vidal 📷 image maker,karlagvidal
Sao Paulino Mil Grau,saopaulinomilgrau_
Luciana Roberta,cartasdalu
Futebol Clube do Porto,dailyportistas
Ser Educacional,gruposereducacional
Biblioteca do CFCH/UFRJ,bibliotecacfch
Anderson Nogueira | Emagrecimento,andersonnogueirapersonal
Sérgio Nascimento,sergionask
Lisboa Para Pessoas,lxparapessoas
Lojas Ramsons,lojasramsons
MAX.FLAVOR,max.flavor
GCMAIS,gcmais
Dani Marcolla Tudo sobre Espanha,brasileirasemmadrid
Soul.Me,soulme.health
IEPREV,ieprev
DR. WESLLEY RAPHAEL SILVA LEAL   | CROMG 63518,raphaweslley
Lucas Caregnato,lucascaregnato
LeLi Corrales®,lelicorrales
Grand Plaza,grandplazashopping
Deputado Federal Bruno Farias,brunofariasmg
ANITTA RECIFE-PE,centralanittarecife
Humor - Delesmano Alves de Sousa Rodrigues,delesmano
Rede Clube,redeclube
Claudia Giane,claudiagiane
Rádio 7: A Radio de Umbanda,radiodeumbanda
Bonde da Maraisa (Oficializado),bondedamaraisa.sp
Fabio Nunes,fabionunes9
Tip Toey Joey 🦶 Sapatos Barefoot,tiptoeyjoey
M.V Giovanna Oliveira | M.V Merielton Carvalho,medvet_oficial
𝐂𝐫𝐢𝐬𝐭𝐨 𝐕𝐢𝐯𝐞 𝐄𝐦 𝐌𝐢𝐦 / Página Cristã,cristo.vive_em.mim_
Edu tricolokos 🇾🇪,edu_tricolokos1
Radar,radarveja
Luís Eduardo Falcão - Patos de Minas,falcaopatos
Revista E [Sesc São Paulo],sescrevistae
Professora Rosa Neide,prof_rosaneide
MEDGRUPO,medgrupo
Notícias da Lapa,noticiasdalapa
Fabiana Araujo,cantorafabiaraujo
Midia Ninja Chapada Diamantina,midia_ninjachapada_
Bruninho Ferreira 👑,bruniinhoking
Clarins Brasil,clarinsbrasil
Reginete Bispo,reginetebispo
Aline Gurgel,dep_alinegurgel
Dr. Taciano Diniz / Deputado Estadual da Paraíba,tacianodiniz
Motivo Fútil,motivofutil
Portal do Holanda,portaldoholanda
Sergio  Oliveira,biroco
Dr. Marcos Ramalho,drmarcos.ramalho
Celso Freitas,celsofreitasoficial
de Búzios para todo o Brasil,midianup
GABINETE DO ÓDIO | BOLSONARO,gdooficial
r Á y n a,raynadadalto
KEILA RIBEIRO /assessoria e cerimonial,keila.ribeiro.cerimonial_
Mussum Forévis,mussumforeviss
Bruna Dias | Cachos e dicas,diasdecacho
Leticia Casarin | Personal Trainer,lecasarin
Akiébike - Gu,akiebike.mg
Lia de Itamaracá,liadeitamaracaoficial
Bonfim Notícias | Oficial,bonfimnoticias
Pitacos do Casal,pitacosdocasal
Portal Paranatinga,portalparanatinga
Ana Cristina Da Silva Sousa Fintelma,dicas_pediatria
Renallida Lima,renallidaoficial
Patrik Magari,patrik_magari
Ingrid Assis,ingridsateremawe
Helio Lopes,depheliolopes
Arthur Gimenes Prado,arthurgimenes13
JP Agora,jpagoraoficial
Ana micaela,annamikaaoficial
Botolifting Brasil - Harmonização Facial e Corporal,botoliftingbrasil
📍 Francisco Beltrão PR,gringastorefb
Eliel Jr,oelieljunior
Union Divers Turismo,uniondivers
Instituto +Liberdade,institutomaisliberdade
Renata Egreja,regreja
Fabi Mayumi Hukuda,fabihukuda
Carioca,carioca
SSPMS - Sindicato,sspms_sindicato
🤝 PARCERIA VIA DIRECT ⤵️,escolafit_oficial
CBN Vale,cbnvale
Bateu Bwé,bateu_bwe
ITACHI • BRASIL,itachi.br4siil
Arte que Cria,artequecria.loja
Antonio Quixadá,acquixada
Samba Que Elas Querem ®,sambaqueelasquerem
Bancários/as do Ceará,bancariosdoceara
Louzan Illustrations,louzanillustrations
Governo Lula (22-26),governo_lula_22a26
Nelson Neto Junior,nelsonetojunior
Portal do Trono,portaldotronoreserva
Rachel Daniel,elarachela
Humberto Adami,humbertoadami
Denise Herzer - Marternidade,denise.herzer
Guarani Futebol Clube,guaranifc_oficial
Prefeitura de Orlândia,prefeituraorlandia
Rádio Costazul FM,radiocostazul
Jobecam,jobecam
Amadeu Vieira,pr.amadeuvieira
Petrolina Ordinária,petrolinaordinaria
𝐑𝐄𝐋𝐄𝐕𝐀𝐍𝐓𝐄 𝐍𝐄𝐖𝐒,relevante.news
Record TV Interior RJ,recordtvinteriorrj
COMPRE AQUI SEU CELULAR 🍎📲👇🏼,rangeltech.oficial
Z • E • N • V • I • A,zenvia
MAC WEBER | Estética Médica e Medicina Integrativa,clinicamacweber
Adailton Belarmino,adailtonstyllus
Oportunidades ITZ,oportunidades.itz
Marcelo Aquino,marcelo_aquino__
Adriano Marques | Acelerando Empreendedores,adrianomarquesoficiall
Eduardo Semerjian,edusemerjian
Thiago José Camargos,tibacamargos
Gazeta MT,gazetamtoficial
Esporte Clube Santa Sofia,e.clubesantasofia
Div Tv,divtvoficial
mari stockler,maristockler
TESÃO PIÁ 🎭,tesaopia
Anderson Silva,dr.andersonsilva
Brasileiras Não Se Calam!,brasileirasnaosecalam
Lelê rasteirinha,lele_rasteirinha
Portal YouYes,youyesportal
oporaodiscos,oporaodiscos
Heitor Mendonça,heitormendoncaofc
Cesar Cidade Dias,cesarcidadedias
AUTOMOBILE,automobilemultimarcas
Gênesis,genesistintas
Melhor Atacadista,melhoratacadista
Mara Rocha,mararochaacre
Mury Turismo Excursões,muryturismo
Itapeva Alerta,itapevaalerta
GANHANDO ALMAS PRA JESUS 🔘,ganhandoalmasprajesus
Carmo - Um Amor De Sabor,carmochocolatesoficial
Álvaro Bézinho,bezinho_carsoficial
LIZ E KALLY   PET INFLUENCERS,lizekally
KAROL PAIVA,karol.paivah
weltonroberto,weltonroberto
NN3RD_,nn3rd_
Farmácia Arte em Manipulação,arte.em.manipulacao
Milton Castanheira,castanheiras
Prefeitura do Carpina,prefeitura_carpina
SEVEN HALF,seven_half_
Bolê,bole_bolosedoces
Farmácia Super Popular || Laguna,auxiliadorasuperpopular
Nega,nega.lize
Loja de Bolo em Manaus,bolodamae
𝚅𝚘𝚊𝚍𝚘𝚛𝚊 𝙶𝚘𝚜𝚙𝚎𝚕,voadoragospel
Babi Santo - Cartas Astrologia,good_babis
Lília Camargo,liliacamargo_reporter
🥇🏆Sua loja tech no Espírito Santo,imobileoficial
Jaraguá SkyMarathon®,jaraguasky
Mara Beatriz,marabia2
Lourival Gomes Gomes,professorlourivalgomes
Cristina Mel 🎤,cristinamelreal
Olavo de Carvalho,olavodecarvalho
Juarez da Banana,juarezdabanana
Teatro João Caetano,teatrojoaocaetano
Educação Emocional Positiva / Miriam Rodrigues,educacaoemocionalpositiva
Instituto Meu Mundo Mais Verde,meumundomaisverde
Leah,leahstyleb
Revista Zelota,revistazelota
Padre Joselito,padrejoselito
Danilo Bastos,danilogbastos
PSOL Carioca 50,psolcarioca
Renato Bolsonaro,renatobolsonaro
Jerddeson Santos,jerdinhojc
Dr. Rodrigo Mello,rodrigomellonutri
"Notícias da Bahia, João Dourado, Propaganda e Publicidade,",sitebahiainforma
Christie Móveis e Objetos,christiemoveis
RioMar Recife,riomar_recife
Você Sabia? - Futebol,vocesabiafutebol
GUTO TV,gutotvreal
Fernanda Lohr,estetica.perfecta
João Palhano,palhanors
Direita Liberal,direitaliberaal
LF STORE🏅,lu.multimarcas2
Lucas Cassule 🇦🇴,lucascassule.ao
,hermengardatheobalda
MENINA DA PECUÁRIA®,kamila.llimaa
Ponte Jornalismo,pontejornalismo
Raíssa Éris Grimm Cabral,agua.ritmica
Bruna Maria M.B,girlpwrfeminist
Wladimir Garotinho,wladimirgarotinho
São Paulo Oktoberfest,saopaulooktoberfest
Jornal GGN,jornalggn
TJMG,tjmgoficial
Delegado Fernando Martins,delegadofernandomartins
A Luta Continua,alutacontinuaaaa
Amanda Lopes || Ilustrações,amandrafts
Barra Mansa Futebol Clube,barramansafcoficial
Agora News Brasil ®,agoranewsbr
Curso Jurídico,cursojuridicooficial
FOLHA DO ABC,folha_do_abc
Margareth Senna,margasenna
Coronel Helena Reis,coronelhelenareis
Mauricio Oliveira,mauricio_olv
Maryanne Mattos,mattosmaryanne
Pallace Club 🍸,pallace.club
Paulo Antônio Briguet,paulobriguet
ROSA DE SARON MODA EVANGÉLICA ®️,rosadesaronperuibe
Roberta Santiago,robertasantiago
Juliana Falleiro,julianafalleiro
SBT Classic,sbt.classic
Brasil 247,brasil_247
Portalpoção,portalpocao
Janete Melo,janete.li.melo
1ª Igreja do Evangelho Quadrangular - Campina Grande do Sul,quadrangularbrasil
Jornal Diário da Manhã,diariodamanhaoficial
Evandro Magal,evandromagal
Prefeitura Municipal de Macapá,prefeiturademacapa
La Chocolê Doceria®️,lachocoledoceria
Danielle Benjoino,daniellebrandao_
(Fé)ministras ®,fe.ministras
Desativado1567,milionariosoriginal
Grupo Lance Notícias | Matriz,grupolancenoticias
Carla Mantovani,carla_mantovani_bariatrica
AlfaCon | Concursos Públicos,alfaconcursos
A Voz de Santa Quitéria,avozdesantaquiteria
Fé & Trabalho,fe.trabalho
BLOGFUXICO,blogfuxicooficial
RAETV - Rede Amigo Espírita,redeamigoespirita
Amigurumi Legal,amigurumi_legal_
Inês Paz,inespazpsol
PAULO TRABALHO,paulo_trabalho
Dharma Politics,dharmapolitics
SIC K,sick.oficial
G7Bahia | Portal de notícias,g7bahia
Maçã_D’Gold,appled_gold
Medcards,medcards
Yes Brazil USA,yesbrasilusa
Rafinha,rafaellafontes2
Carlos Eduardo,caeduleal
Naheda Culinária Árabe,nahedaculinariaarabe
Atila Roque,atilaroque
4PUMP | Suplementos,4pumpnatal
Laura Costa,lauracosta.mg
Página 3,pagina3
Maurício Gieseler | OAB,blogexamedeordem
Bárbara Passos,barbarapassos38
Braga Netto,braganetto_gen
Guess Bike,guess.bike
Bruna Monteiro,pretaspoliticas
Quero Abusar,queroabusar
Fabiana Santos,fabianacozza
Conversão Oficial,conversaooficial
Amanda Menezes,amandamenezesjornalista
Brina Costa,_brinacosta
ClickPB,portalclickpb
Thiago Pampolha,thiagopampolha.rio
Favorito,supermercadofavorito
Eduardo Serra PCB-RJ,eduardoserrapcbrj
Mega FoFocas - BBB,megafofocas
Assembleia de Deus Nova Vida,adnvmoradadelaranjeirasoficial
Prefeito Paraíba,nossoamigoparaiba
Marco Antônio Neves Cabral,marcoantoniocabral
Piratas da Bola,piratasdabolla
Mundão Oficial Ⓜ️,mundaooficial
Imagem Fotografia - Estúdio,estudioimagemfotografia
Agreste na Web,agrestenaweb
𝗗𝘂𝗱𝘂 𝗦𝗼𝗮𝗿𝗲𝘀,dudusoares_pb
Teus Restaurante Bar - Desde 2016,teusrestaurantebar
Rede Condor,redecondor
𝘼𝙡𝙗𝙚𝙧𝙩𝙤 𝙈𝙖𝙪𝙧𝙞𝙘𝙞𝙤 𝘿𝙖𝙣𝙤𝙣,amdanon
Daniel Cesart,danielcesart
Mulheres na Comunicação,mulheresnacomunicacao
FUTFIT OFICIAL,futfit.cwb
San Junior,sanfjunior
GOSSIP DAS LIVES,gossipdaslives
Renata Bravo,renatabravos
Rodolfo L Barbosa,corinthiano_na_gringa
Sertão na Hora,sertaonahora
Royal Turquesa Boutique Hotel ⭐️⭐️⭐️,royalturquesaboutiquehotel
Assessoria & Relacionamento🍀,mdassessoriacom
Josimar Maranhãozinho,josimarmaranhaozinho
Thainá Castro,thainacastro
Caxias Shopping,caxiasshopping
Asteroides Trio,asteroides_trio
#Agoratoupronta,agoratoupronta
Renata Arruda,renataarrudaoficial
Meu Timão,meutimao
Antônio da Silva | Academia de vendas,umantoniodasilva
MEDsimple,medsimple_
Lucas Barone,lucasbarone_lb
Paróquia São Benedito,saobeneditoitajuba
Diego Costa,diegocostacumbe
Dr. Alex Miller Bernardes | Nutricionista e Prof. Ed. Física,nutricionistaalexmillerpro
Pri Baía,minhacasameucastelo
Blog do Michelitos,michelitos79
𝑲𝒂𝒂𝒍𝒂 𝑴𝒂𝒌𝒆𝒖𝒑,kaala.fmakeup
Débora Camilo,deborapsol
Estúdio Baby Cute Fotografia - Taubaté,babycute.fotografia
Júnior Macarrão,junior.macarrao
Radio Web Energia,radiowebenergia
Dormir Não Dá XP | Memes de RPG,dormirnaodaxp
William Knorst,knorstmusic
Portal Costa Norte,portalcostanorte
Gil Paraibano,gilparaibano
Blog Ponto de Vista,blogpontodevistape
4BOSS,4boss_brasil
C l e i S o N  🫀🙏🏼,crentecacheado
Futpress,futpress
Auge Nega 🐍🔥,augenega
RODRIGO ALVES,rodrigopalpitex
Betty Lage,betty_lage_
Governo do Maranhão,governoma
Crossroads,barcrossroads
Portal Araçagi,portalaracagi
Grupo Metropole,grupo.metropole
Justiça do Trabalho na Bahia,trt5bahia
George A. F. Gessário,ogeorgeafg
Santa Casa de Porto Alegre,santacasapoa
Maringá de bom humor todo dia!,dicionariomaringaense
UOL Esporte,uolesporte
Fernandinho Saraiva,saraivafernandinho
Rogério da ANE,ane_mogi
acepusp,acepusp
Ricardo Di Roberto,ricardo_japinha
Antonio Nóbrega,brincantenobrega
Águia Veterinária & Pet Shop,aguiaveterinaria
Tudo em Concursos 🦅,tudoemconcursos
Rodrigo Branco *Byakko-白虎*,rod_branco
Guilherme Augusto,guiaugustoy
RTC - Rádio Televisão Cabo Verde,rtc.caboverde
Blog do zedudu,blog.do.zedudu
PORTAL DO BREJO ©,portaldobrejo
Pr. Elson de Assis,pastorelsondeassis
Henrique do Paraíso,henriquedoparaiso
Cristina Silvestri,cristinarsilvestri
Cassia Chaves,cassia_girassol
As Mina Na História,asminanahistoria
Fábio Graton,gratonfabio
Brasil acima de tudo,_brasil_acima_de_tudo
👽 MC Kevin 🛸,_fcmckevin
Edelba Carvalho,edelbacarvalho
Newface Brushes,newfacebrushes
SANDINISTAS,bandasandinistas
Premier League da Depressão,pldadepressao
PromOferta Web | Promoção | Cupom,promofertaweb
Multi Entretenimento,multientretenimento
Deputado Sérgio Aguiar,depsergioaguiar
Supra di Mauro Maia,supradimauromaia
Senador Paulo Paim,paulopaimsenador
Jeferson Modesto (Jé),jefersonmodestooficial
GRUPO SOUL TECH,grupo.soultech
Silvani Pereira,silvanipereiraoficial
Greminho FC,greminhofc1996
Vanessa Amaral,nessamaral
Leonardo Vidal BR,leonardovidalbr
Rede Massa | SBT,redemassa
João Paulo Rodrigues,joaopaulorodriguesmst
Amigurumi Inovador,amigurumi_inovador
Snaq,snaq.co
Úteis e Fúteis,uteisefuteisadornos
Fuxico Online,fuxicoon
Rafael Parente,rafaelparente
Kaká Meyer (kaká novelas),kakanovelas
Márcia Kambeba,marciakambeba
A Bola,abolapt
Patricia Bittencourt,patriciabittencourt13
rafaelmedeirostrotsky 🇧🇷⭐🚩☭,rafaelmedeirostrotsky
mamaemalukinha,mamaemalukinha
Osvaldo Assis,cachoeiraspeednaestrada2
Filosofia Cotidiana,filo_shopia
Amazônia Passa Aqui,amazoniapassaqui
Maratona de Manaus,maratonademanaus
Seplad/Pará,sepladpa
"Alta Novel, Altinha para os íntimos",altanoveleditora
ɪɢʀᴇᴊᴀ ᴅᴏ ɴᴀᴢᴀʀᴇɴᴏ Natal,nazarenonatal
Pink Cosméticos 💕 | Maquiagens e acessórios,pinkcosmeticos_
Ana Lopes⠀⠀⠀⠀⠀⠀⠀⠀⠀,analopes9
Vilarejo | Solução Em Casa,vilarejoacabamentos
Reinaldo Zanon,reinaldozanon
MPT no Rio Grande do Sul,mpt.rs
Mercial Arruda,prefeitomercialarruda
Vivare✨ Fisioterapia | Natação,vivarecarpina
A moda que faz a diferença 💛,ponto_da_moda01
arminiosincero,arminiosincero
Diario Rubro Negro,diario.rubronegro
Cook it ®,cookitemcasa
Tobias Ferraz,eutobiasferraz
Rede Nacional do Esporte,rededoesporte
Albatroz Fishing,albatrozfishing
Vitor Porto,vitimporto
Priscilla Nardy,priscillanardy
Pai Bru e Pai Má,papais_a_bordo
UMA - Meio Ambiente,umaufsm
Moisés Braz,moisesbrazpt
Néia Costa,neiacostaoficial
Keit Lima,keit.lima
José Luís Said Cometti,cometti_luis
Yuri braga,yuri_milgrauu
Renan Monteiro,eurenan.monteiro
Danika Modas 👑,danikamodasoficial
